Date,Pokémon Go,Grand Theft Auto V,World of Warcraft,Minecraft,Fallout 4,Grand Theft Auto: San Andreas,The Elder Scrolls V: Skyrim,Dota 2,Overwatch,The Witcher 3: Wild Hunt
2016-05-01,0,1.804878049,1.051282051,1.380952381,1.028571429,0.845360825,0.767123288,0.714285714,1,0.35106383
2016-05-08,0,2.088235294,1.25,1.653846154,1.155172414,1.037974684,0.9,0.942028986,1.017241379,0.5
2016-05-15,0,2.451612903,1.5,1.829787234,1.735849057,1.138888889,1.072727273,1.158730159,0.641509434,0.68115942
2016-05-22,0,3.333333333,2,2.243243243,2.317073171,1.553571429,1.372093023,1.244897959,2.380952381,1
2016-05-29,0,3.826086957,2.409090909,2.514285714,2.5,1.685185185,1.487804878,1.404255319,2.275,1.923076923
2016-06-05,0,5,3.157894737,2.866666667,2.411764706,1.836734694,1.885714286,1.853658537,2.117647059,1.893617021
2016-06-12,0,4.842105263,3.611111111,3.344827586,2.5625,2.068181818,3.03030303,1.815789474,1.875,1.714285714
2016-06-19,0,5.055555556,3.588235294,3.703703704,2.483870968,2.414634146,2.4375,1.810810811,1.806451613,1.65
2016-06-26,0,5.705882353,3.352941176,3.846153846,2.533333333,2.43902439,2.548387097,1.857142857,1.933333333,1.538461538
2016-07-03,13.5,6.1875,3.4375,3.92,2.642857143,2.564102564,2.724137931,1.606060606,1.821428571,1.567567568
2016-07-10,50,6.125,3.333333333,3.833333333,2.333333333,2.526315789,2.428571429,1.65625,1.925925926,1.324324324
2016-07-17,86,6.266666667,4.4,3.75,2.423076923,2.594594595,2.333333333,1.677419355,1.666666667,1.222222222
2016-07-24,57,6.066666667,4.428571429,4.086956522,2.5,2.694444444,2.296296296,1.935483871,1.346153846,1.235294118
2016-07-31,28,5.75,3.9375,3.6,2.321428571,2.358974359,2.206896552,2.176470588,1.5,1.081081081
2016-08-07,22,4.473684211,3.833333333,2.965517241,1.818181818,1.977777778,1.852941176,2.564102564,1.060606061,0.860465116
2016-08-14,14.5,4.777777778,3.833333333,3.142857143,1.875,2.022727273,2,1.947368421,1.375,0.880952381
2016-08-21,12,3.952380952,3.55,2.625,1.685714286,1.829787234,1.702702703,1.571428571,1.138888889,0.844444444
2016-08-28,9,3.545454545,4.761904762,2.441176471,1.947368421,1.634615385,1.512820513,1.4,0.973684211,0.88
